gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature
MRPL15	UP	38	basal_like_1	LOX	UP	28	basal_like_2	KLRK1	UP	54	immunomodulatory	SYNM	UP	49	mesenchymal	ADCY7	UP	13	mesenchymal_stem_like	TBC1D16	UP	24	luminal_ar
GSTA4	UP	34	basal_like_1	LOXL1	UP	28	basal_like_2	FNBP1	UP	51	immunomodulatory	GPR161	UP	43	mesenchymal	AHNAK2	UP	15	mesenchymal_stem_like	ADH1C	UP	24	luminal_ar
GPSM2	UP	34	basal_like_1	LOXL2	UP	28	basal_like_2	SEPT6	UP	46	immunomodulatory	FOLR1	UP	42	mesenchymal	VSIG4	UP	13	mesenchymal_stem_like	COL1A1	UP	25	luminal_ar
SCHIP1	UP	43	basal_like_1	LTF	UP	29	basal_like_2	RFTN1	UP	51	immunomodulatory	MACF1	UP	40	mesenchymal	FKBP9	UP	13	mesenchymal_stem_like	COL1A2	UP	28	luminal_ar
HIST1H2AE	UP	36	basal_like_1	LUM	UP	32	basal_like_2	PLCL2	UP	43	immunomodulatory	TRIM29	UP	46	mesenchymal	MGLL	UP	17	mesenchymal_stem_like	COL3A1	UP	26	luminal_ar
HLA-DRB4	UP	35	basal_like_1	TACSTD2	UP	36	basal_like_2	KIAA0746	UP	52	immunomodulatory	CADM1	UP	41	mesenchymal	SYNPO	UP	15	mesenchymal_stem_like	COL4A5	UP	31	luminal_ar
HMGB2	UP	35	basal_like_1	MAF	UP	28	basal_like_2	PHF15	UP	42	immunomodulatory	GABBR1	UP	39	mesenchymal	PIK3IP1	UP	19	mesenchymal_stem_like	COL5A1	UP	27	luminal_ar
HMGA1	UP	37	basal_like_1	MDK	UP	28	basal_like_2	SMCHD1	UP	37	immunomodulatory	GABRP	UP	46	mesenchymal	OSBPL8	UP	17	mesenchymal_stem_like	COL5A2	UP	22	luminal_ar
HSF1	UP	35	basal_like_1	ME1	UP	30	basal_like_2	TDRD7	UP	45	immunomodulatory	QPCT	UP	38	mesenchymal	OSBPL10	UP	13	mesenchymal_stem_like	COL6A3	UP	24	luminal_ar
HSPA1B	UP	39	basal_like_1	MEST	UP	29	basal_like_2	HMHA1	UP	47	immunomodulatory	BAMBI	UP	39	mesenchymal	ADCY9	UP	14	mesenchymal_stem_like	MBOAT2	UP	30	luminal_ar
BIRC5	UP	34	basal_like_1	MET	UP	32	basal_like_2	FPR1	UP	37	immunomodulatory	WWTR1	UP	47	mesenchymal	KCTD12	UP	23	mesenchymal_stem_like	COL10A1	UP	30	luminal_ar
LOC339562	UP	42	basal_like_1	SCGB2A2	UP	28	basal_like_2	DDX58	UP	50	immunomodulatory	KRT23	UP	59	mesenchymal	CIRBP	UP	20	mesenchymal_stem_like	COL11A1	UP	28	luminal_ar
IGHG1	UP	40	basal_like_1	MMP1	UP	39	basal_like_2	FPR3	UP	41	immunomodulatory	ZBTB20	UP	45	mesenchymal	CKMT2	UP	13	mesenchymal_stem_like	COL13A1	UP	23	luminal_ar
IGHG3	UP	53	basal_like_1	MMP2	UP	33	basal_like_2	LY96	UP	55	immunomodulatory	GCNT1	UP	39	mesenchymal	OSR2	UP	14	mesenchymal_stem_like	COMP	UP	31	luminal_ar
